"","State","Clean_State","call_time","poll_closing_time","time_diff_2020","state_po","candidate","candidatevotes","totalvotes","vote_percent","vote_diff"
"36","                Nebraska                (2)                ","NEBRASKA",2020-11-03 21:06:00,2020-11-03 21:00:00,6,"NE","TRUMP, DONALD J.",556846,956383,0.582241633320542,0.190575323902662
"37","                Nebraska CD 1                (1)                ","NEBRASKA",2020-11-03 21:06:00,2020-11-03 21:00:00,6,"NE","TRUMP, DONALD J.",556846,956383,0.582241633320542,0.190575323902662
"38","                Nebraska CD 3                (1)                ","NEBRASKA",2020-11-03 21:06:00,2020-11-03 21:00:00,6,"NE","TRUMP, DONALD J.",556846,956383,0.582241633320542,0.190575323902662
"39","                Mississippi                (6)                ","MISSISSIPPI",2020-11-03 21:02:00,2020-11-03 20:00:00,62,"MS","TRUMP, DONALD J.",756764,1313759,0.576029545753825,0.165453481194039
"40","                New Jersey                (14)                ","NEW JERSEY",2020-11-03 20:50:00,2020-11-03 20:00:00,50,"NJ","BIDEN, JOSEPH R. JR",2608335,4549353,0.57334196752813,0.159376728954645
"41","                Arkansas                (6)                ","ARKANSAS",2020-11-03 20:48:00,2020-11-03 20:30:00,18,"AR","TRUMP, DONALD J.",760647,1219069,0.623957298561443,0.276206679031294
"42","                Missouri                (10)                ","MISSOURI",2020-11-03 20:20:00,2020-11-03 20:00:00,20,"MO","TRUMP, DONALD J.",1718736,3025962,0.567996557788895,0.153908740427011
"43","                Tennessee                (11)                ","TENNESSEE",2020-11-03 20:16:00,2020-11-03 20:00:00,16,"TN","TRUMP, DONALD J.",1852475,3053851,0.606602941662838,0.232088598952601
"44","                Florida                (29)                ","FLORIDA",2020-11-03 20:16:00,2020-11-03 20:00:00,16,"FL","TRUMP, DONALD J.",5668731,11067456,0.51219819622504,0.033583688970618
"45","                Oklahoma                (7)                ","OKLAHOMA",2020-11-03 20:14:00,2020-11-03 20:00:00,14,"OK","TRUMP, DONALD J.",1020280,1560699,0.65373271848063,0.330870975120763
"46","                Massachusetts                (11)                ","MASSACHUSETTS",2020-11-03 20:10:00,2020-11-03 20:00:00,10,"MA","BIDEN, JOSEPH R. JR",2382202,3658005,0.651229837028654,0.332148261142344
"47","                Illinois                (20)                ","ILLINOIS",2020-11-03 20:10:00,2020-11-03 20:00:00,10,"IL","BIDEN, JOSEPH R. JR",3471915,6033743,0.575416453766758,0.169881945585021
"48","                Maryland                (10)                ","MARYLAND",2020-11-03 20:10:00,2020-11-03 20:00:00,10,"MD","BIDEN, JOSEPH R. JR",1985023,3037030,0.653606648600771,0.332103732923284
"49","                Washington, DC                (3)                ","DISTRICT OF COLUMBIA",2020-11-03 20:10:00,2020-11-03 20:00:00,10,"DC","BIDEN, JOSEPH R. JR",317323,344356,0.921496939214069,0.867523725446921
"50","                Delaware                (3)                ","DELAWARE",2020-11-03 20:10:00,2020-11-03 20:00:00,10,"DE","BIDEN, JOSEPH R. JR",296268,504346,0.587430057936417,0.189681290225361
"51","                Alabama                (9)                ","ALABAMA",2020-11-03 20:10:00,2020-11-03 20:00:00,10,"AL","TRUMP, DONALD J.",1441170,2323282,0.620316431668648,0.254616529547425
"52","                Indiana                (11)                ","INDIANA",2020-11-03 20:08:00,2020-11-03 19:00:00,68,"IN","TRUMP, DONALD J.",1729519,3033118,0.570211577657051,0.16059480705993
"53","                Virginia                (13)                ","VIRGINIA",2020-11-03 19:42:00,2020-11-03 19:00:00,42,"VA","BIDEN, JOSEPH R. JR",2413568,4460524,0.541095171778024,0.101140135105203
"54","                Kentucky                (8)                ","KENTUCKY",2020-11-03 19:42:00,2020-11-03 19:00:00,42,"KY","TRUMP, DONALD J.",1326646,2136768,0.620865718692904,0.259350570581364
"55","                West Virginia                (5)                ","WEST VIRGINIA",2020-11-03 19:34:00,2020-11-03 19:30:00,4,"WV","TRUMP, DONALD J.",545382,794652,0.686315519246161,0.389350306800964
"56","                Vermont                (3)                ","VERMONT",2020-11-03 19:02:00,2020-11-03 19:00:00,2,"VT","BIDEN, JOSEPH R. JR",242820,370968,0.654557805525005,0.350747234262794
